Date,Income,Year
1984-01-01,60420.0,1984
1985-01-01,61570.0,1985
1986-01-01,63850.0,1986
1987-01-01,64650.0,1987
1988-01-01,65130.0,1988
1989-01-01,66240.0,1989
1990-01-01,65440.0,1990
1991-01-01,63530.0,1991
1992-01-01,63010.0,1992
1993-01-01,62700.0,1993
1994-01-01,63370.0,1994
1995-01-01,65380.0,1995
1996-01-01,66340.0,1996
1997-01-01,67720.0,1997
1998-01-01,70200.0,1998
1999-01-01,71980.0,1999
2000-01-01,71790.0,2000
2001-01-01,70610.0,2001
2002-01-01,70040.0,2002
2003-01-01,70080.0,2003
2004-01-01,69970.0,2004
2005-01-01,71060.0,2005
2006-01-01,71850.0,2006
2007-01-01,73010.0,2007
2008-01-01,70520.0,2008
2009-01-01,70070.0,2009
2010-01-01,68420.0,2010
2011-01-01,67410.0,2011
2012-01-01,67400.0,2012
2013-01-01,69950.0,2013
2014-01-01,69060.0,2014
2015-01-01,72790.0,2015
2016-01-01,75380.0,2016
2017-01-01,76710.0,2017
2018-01-01,77700.0,2018
2019-01-01,83260.0,2019
2020-01-01,81580.0,2020
2021-01-01,81270.0,2021
2022-01-01,79500.0,2022
2023-01-01,82690.0,2023
2024-01-01,83730.0,2024
